txnExternalId,location,description,status,currency,amount,txnAmount,txnCurrency,timestamp,lastNumbers,cardHolderName,transactionDate,type,merchantCategoryName,mcc,walletName,authIndicator,cardAcceptorName,authCode,note,receiptIds,receiptMatchingStatus,fee,companyAccountingCode,companyAccountingCodeName,balance,credit,debit,userId,hasThreeDs,label,reviewStatus
"24317c31-f2d0-4151-ac61-51d84613b19b",,,"APPROVED","EUR","-46.87",,,"2024-07-16T08:10:47Z","3646","Deryck Fay",,"DEFUND",,,,"OTHERS",,,,"[]","NULL",,,,,,"46.87",,,"Test KYB for CLEV-3666","NOT_STARTED"
"028c3674-6827-4d62-9add-df33b6887bdf","GoogleAdwordsEU ADS916Dublin       IE ",,"APPROVED","EUR","47.01","500","MAD","2024-07-15T17:01:04Z","3646","Deryck Fay",,"REFUND","Advertising Services","7311",,"OTHERS","GoogleAdwordsEU ADS916","CBLFZJ",,"[]","NULL",,,,"49.67","47.01",,,,"Test KYB for CLEV-3666","NOT_STARTED"
"52cf3f85-a6f2-44b8-913e-87d6c8614bc7","HOSTINGER* HOSTINGER.C+37064503378 CY",,"APPROVED","EUR","-4.6","-4.99","USD","2024-07-15T10:36:45Z","3646","Deryck Fay",,"PURCHASE","","5818",,"ONLINE","HOSTINGER* HOSTINGER.C","CBLZRX",,"[]","NULL","-0.14",,,"2.66",,"4.6",,,"Test KYB for CLEV-3666","NOT_STARTED"
"af52708e-2cef-41e7-af46-20281b52d6fc","GoogleAdwordsEU ADS916Dublin       IE",,"APPROVED","EUR","-47.11","-500","MAD","2024-07-12T14:34:19Z","3646","Deryck Fay",,"PURCHASE","Advertising Services","7311",,"ONLINE","GoogleAdwordsEU ADS916","CBLFZJ",,"[]","NULL","-1.41",,,"7.26",,"47.11",,,"Test KYB for CLEV-3666","NOT_STARTED"
"60e63720-eef4-4a76-930d-8d223b06e114","GoogleAdwordsEU ADS916Dublin       IE",,"APPROVED","EUR","-46.63","-494.93","MAD","2024-07-12T14:33:08Z","3646","Deryck Fay",,"PURCHASE","Advertising Services","7311",,"ONLINE","GoogleAdwordsEU ADS916","CBLUYX",,"[]","NULL","-1.39",,,"54.37",,"46.63",,,"Test KYB for CLEV-3666","NOT_STARTED"
"00907b18-e378-4577-bf2a-3779c977c9dc","Recharge.fr 161047257 Amsterdam    NL",,"APPROVED","EUR","-50","-50","EUR","2024-07-12T14:00:22Z","3646","Deryck Fay",,"PURCHASE",,"6540",,"ONLINE","Recharge.fr 161047257","CBLIUW",,"[]","NULL",,"{""externalId"":""362e6aff-d435-49ea-8770-4e054e4f001b"",""codeType"":""CUSTOMER"",""companyId"":""776"",""customerName"":null,""codeName"":""CB.001"",""codeDescription"":""Citybank Audit"",""codeStatus"":""INACTIVE"",""createdTimestamp"":""2024-06-14 11:45:41"",""updatedTimestamp"":""2024-07-19 14:57:25""}","CB.001","101",,"50",,,"Test KYB for CLEV-3666","NOT_STARTED"
"d65efd2d-2572-448c-b5a4-9762f17389b5",,"Card Activated","APPROVED","EUR","151",,,"2024-07-11T13:13:17Z","3646","Deryck Fay",,"CARD_ACTIVATION",,,,"OTHERS",,,,"[]","NULL",,,,,"151",,,,"Test KYB for CLEV-3666","NOT_STARTED"
